,0,1,2,3,4,5,6
0,30.0,29.67,0.33,5.266,1.3,1.3,79.139
1,30.0,29.538,0.462,5.27,1.3,1.3,79.159
2,30.0,29.538,0.462,5.269,1.3,1.3,79.179
3,30.0,29.538,0.462,5.27,1.3,1.3,79.199
4,30.0,30.527,-0.527,5.254,1.3,1.3,79.219
5,30.0,29.538,0.462,5.273,1.3,1.3,79.239
6,30.0,29.538,0.462,5.27,1.3,1.3,79.259
7,30.0,29.538,0.462,5.27,1.3,1.3,79.279
8,30.0,29.736,0.264,5.266,1.3,1.3,79.299
9,30.0,29.538,0.462,5.271,1.3,1.3,79.319
10,30.0,29.736,0.264,5.266,1.3,1.3,79.339
11,30.0,29.67,0.33,5.268,1.3,1.3,79.359
12,30.0,30.264,-0.264,5.257,1.3,1.3,79.379
13,30.0,30.989,-0.989,5.247,1.3,1.3,79.399
14,30.0,30.396,-0.396,5.251,1.3,1.3,79.419
15,30.0,29.868,0.132,5.264,1.3,1.3,79.439
16,30.0,30.923,-0.923,5.25,1.3,1.3,79.459
17,30.0,30.264,-0.264,5.253,1.3,1.3,79.479
18,30.0,31.516,-1.516,5.244,1.3,1.3,79.499
19,30.0,31.319,-1.319,5.23,1.3,1.3,79.519
20,30.0,32.242,-2.242,5.229,1.3,1.3,79.539
21,30.0,33.626,-3.626,5.223,1.3,1.3,79.559
22,30.0,33.56,-3.56,5.181,1.3,1.3,79.579
23,30.2,33.89,-3.69,5.188,1.3,1.3,79.599
24,30.2,34.813,-4.613,5.192,1.3,1.3,79.619
25,30.2,35.341,-5.141,5.166,1.3,1.3,79.639
26,30.2,35.868,-5.668,5.155,1.3,1.3,79.659
27,30.2,36.264,-6.064,5.139,1.3,1.3,79.679
28,30.2,36.593,-6.393,5.127,1.3,1.3,79.699
29,30.2,36.527,-6.327,5.105,1.3,1.3,79.719
30,30.2,37.253,-7.053,5.131,1.3,1.3,79.739
31,30.2,36.593,-6.393,5.067,1.3,1.3,79.759
32,30.2,36.857,-6.657,5.106,1.3,1.3,79.779
33,30.2,36.791,-6.591,5.086,1.3,1.3,79.799
34,30.2,36.791,-6.591,5.087,1.3,1.3,79.819
35,30.2,36.593,-6.393,5.077,1.3,1.3,79.839
36,30.2,36.527,-6.327,5.082,1.3,1.3,79.859
37,30.2,36.33,-6.13,5.077,1.3,1.3,79.879
38,30.2,36.066,-5.866,5.076,1.3,1.3,79.899
39,30.2,35.868,-5.668,5.081,1.3,1.3,79.919
40,30.2,35.275,-5.075,5.075,1.3,1.3,79.939
41,30.2,34.418,-4.218,5.085,1.3,1.3,79.959
42,30.2,33.758,-3.558,5.107,1.3,1.3,79.979
43,30.2,32.637,-2.437,5.125,1.3,1.3,79.999
44,30.2,31.78,-1.58,5.152,1.3,1.3,80.019
45,30.2,31.319,-1.119,5.168,1.3,1.3,80.039
46,30.2,30.396,-0.196,5.189,1.3,1.3,80.059
47,30.2,29.934,0.266,5.201,1.3,1.3,80.079
48,30.2,27.429,2.771,5.307,1.3,1.3,80.099
49,30.2,27.429,2.771,5.252,1.3,1.3,80.119
50,30.2,27.429,2.771,5.254,1.3,1.3,80.139
51,30.2,26.374,3.826,5.309,1.3,1.3,80.159
52,30.2,26.044,4.156,5.296,1.3,1.3,80.179
53,30.2,25.253,4.947,5.335,1.3,1.3,80.199
54,30.2,24.725,5.475,5.34,1.3,1.3,80.219
55,30.2,24.264,5.936,5.351,1.3,1.3,80.239
56,30.2,24.0,6.2,5.351,1.3,1.3,80.259
57,30.2,23.407,6.793,5.385,1.3,1.3,80.279
58,30.2,22.549,7.651,5.426,1.3,1.3,80.299
59,30.2,23.341,6.859,5.318,1.3,1.3,80.319
60,30.2,23.275,6.925,5.37,1.3,1.3,80.339
61,30.2,23.604,6.596,5.346,1.3,1.3,80.359
62,30.2,24.066,6.134,5.334,1.3,1.3,80.379
63,30.2,24.066,6.134,5.36,1.3,1.3,80.399
64,30.2,24.989,5.211,5.306,1.3,1.3,80.419
65,30.2,24.462,5.738,5.382,1.3,1.3,80.439
66,30.2,24.989,5.211,5.328,1.3,1.3,80.459
67,30.2,25.121,5.079,5.344,1.3,1.3,80.479
68,30.2,25.516,4.684,5.329,1.3,1.3,80.499
69,30.2,25.78,4.42,5.331,1.3,1.3,80.519
70,30.2,26.308,3.892,5.316,1.3,1.3,80.538
71,30.2,27.429,2.771,5.286,1.3,1.3,80.558
72,30.2,26.044,4.156,5.387,1.3,1.3,80.578
73,30.2,27.758,2.442,5.274,1.3,1.3,80.598
74,30.2,27.89,2.31,5.304,1.3,1.3,80.618
75,30.2,27.89,2.31,5.308,1.3,1.3,80.638
76,30.2,29.143,1.057,5.272,1.3,1.3,80.658
77,30.2,29.209,0.991,5.282,1.3,1.3,80.678
78,30.2,29.604,0.596,5.273,1.3,1.3,80.698
79,30.2,30.989,-0.789,5.255,1.3,1.3,80.718
80,30.2,30.989,-0.789,5.246,1.3,1.3,80.738
81,30.2,31.516,-1.316,5.24,1.3,1.3,80.758
82,30.2,31.582,-1.382,5.234,1.3,1.3,80.778
83,30.2,31.648,-1.448,5.232,1.3,1.3,80.798
84,30.2,31.648,-1.448,5.23,1.3,1.3,80.818
85,30.2,31.648,-1.448,5.229,1.3,1.3,80.838
86,30.2,31.648,-1.448,5.229,1.3,1.3,80.858
87,30.2,31.714,-1.514,5.227,1.3,1.3,80.878
88,30.2,31.78,-1.58,5.225,1.3,1.3,80.898
89,30.2,31.78,-1.58,5.224,1.3,1.3,80.918
90,30.2,32.044,-1.844,5.221,1.3,1.3,80.938
91,30.2,31.846,-1.646,5.218,1.3,1.3,80.958
92,30.2,32.11,-1.91,5.218,1.3,1.3,80.978
93,30.2,32.11,-1.91,5.213,1.3,1.3,80.998
94,30.2,32.505,-2.305,5.212,1.3,1.3,81.018
95,30.2,32.308,-2.108,5.204,1.3,1.3,81.038
96,30.2,32.11,-1.91,5.207,1.3,1.3,81.058
97,30.2,31.648,-1.448,5.213,1.3,1.3,81.078
98,30.2,32.505,-2.305,5.216,1.3,1.3,81.098
99,30.2,31.648,-1.448,5.207,1.3,1.3,81.118
100,30.2,32.901,-2.701,5.218,1.3,1.3,81.138
101,30.2,31.582,-1.382,5.202,1.3,1.3,81.158
102,30.2,31.451,-1.251,5.217,1.3,1.3,81.178
103,30.2,30.989,-0.789,5.224,1.3,1.3,81.198
104,30.2,31.055,-0.855,5.226,1.3,1.3,81.218
105,30.2,30.923,-0.723,5.227,1.3,1.3,81.238
106,30.2,30.791,-0.591,5.229,1.3,1.3,81.258
107,30.2,30.725,-0.525,5.231,1.3,1.3,81.278
108,30.2,30.527,-0.327,5.234,1.3,1.3,81.298
109,30.2,30.33,-0.13,5.238,1.3,1.3,81.318
110,30.2,30.0,0.2,5.246,1.3,1.3,81.338
111,30.2,30.593,-0.393,5.235,1.3,1.3,81.358
112,30.2,29.538,0.662,5.26,1.3,1.3,81.378
113,30.2,30.264,-0.064,5.241,1.3,1.3,81.398
114,30.2,30.198,0.002,5.241,1.3,1.3,81.418
115,30.2,30.396,-0.196,5.238,1.3,1.3,81.438
116,30.2,30.593,-0.393,5.234,1.3,1.3,81.458
117,30.2,30.462,-0.262,5.235,1.3,1.3,81.478
118,30.2,30.725,-0.525,5.231,1.3,1.3,81.498
119,30.2,30.527,-0.327,5.233,1.3,1.3,81.518
120,30.2,30.593,-0.393,5.233,1.3,1.3,81.538
121,30.2,30.659,-0.459,5.231,1.3,1.3,81.558
122,30.2,30.396,-0.196,5.236,1.3,1.3,81.578
123,30.2,30.527,-0.327,5.234,1.3,1.3,81.598
124,30.2,30.396,-0.196,5.236,1.3,1.3,81.618
125,30.2,30.462,-0.262,5.235,1.3,1.3,81.638
126,30.2,30.659,-0.459,5.231,1.3,1.3,81.658
127,30.2,30.791,-0.591,5.228,1.3,1.3,81.678
128,30.2,30.659,-0.459,5.229,1.3,1.3,81.698
129,30.2,30.923,-0.723,5.226,1.3,1.3,81.718
130,30.2,30.725,-0.525,5.227,1.3,1.3,81.738
131,30.2,30.857,-0.657,5.225,1.3,1.3,81.758
132,30.2,30.791,-0.591,5.226,1.3,1.3,81.778
133,30.2,30.396,-0.196,5.233,1.3,1.3,81.798
134,30.2,30.791,-0.591,5.227,1.3,1.3,81.818
135,30.2,31.055,-0.855,5.222,1.3,1.3,81.838
136,30.2,30.791,-0.591,5.223,1.3,1.3,81.858
137,30.2,31.253,-1.053,5.219,1.3,1.3,81.878
138,30.2,30.725,-0.525,5.223,1.3,1.3,81.898
139,30.2,29.934,0.266,5.243,1.3,1.3,81.918
140,30.2,30.725,-0.525,5.228,1.3,1.3,81.938
141,30.2,30.396,-0.196,5.231,1.3,1.3,81.958
142,30.2,30.725,-0.525,5.226,1.3,1.3,81.978
143,30.2,29.341,0.859,5.262,1.3,1.3,81.998
144,30.2,30.791,-0.591,5.23,1.3,1.3,82.018
145,30.2,31.978,-1.778,5.216,1.3,1.3,82.038
146,30.2,30.857,-0.657,5.215,1.3,1.3,82.058
147,30.2,30.725,-0.525,5.223,1.3,1.3,82.078
148,30.0,30.725,-0.725,5.219,1.3,1.3,82.098
149,30.0,30.725,-0.725,5.219,1.3,1.3,82.118
150,30.0,30.791,-0.791,5.217,1.3,1.3,82.138
151,30.0,30.659,-0.659,5.219,1.3,1.3,82.158
152,30.0,30.264,-0.264,5.226,1.3,1.3,82.178
153,30.0,30.396,-0.396,5.225,1.3,1.3,82.198
154,30.0,30.923,-0.923,5.217,1.3,1.3,82.218
155,30.0,30.725,-0.725,5.216,1.3,1.3,82.238
156,30.0,30.791,-0.791,5.215,1.3,1.3,82.258
157,30.0,30.725,-0.725,5.216,1.3,1.3,82.278
158,30.0,30.527,-0.527,5.219,1.3,1.3,82.298
159,30.0,30.791,-0.791,5.216,1.3,1.3,82.318
160,30.0,30.462,-0.462,5.219,1.3,1.3,82.338
161,30.0,30.725,-0.725,5.216,1.3,1.3,82.358
162,30.0,30.527,-0.527,5.218,1.3,1.3,82.378
163,30.0,30.593,-0.593,5.217,1.3,1.3,82.398
164,30.0,30.132,-0.132,5.226,1.3,1.3,82.418
165,30.0,30.923,-0.923,5.216,1.3,1.3,82.438
166,30.0,31.055,-1.055,5.208,1.3,1.3,82.458
167,30.0,30.857,-0.857,5.209,1.3,1.3,82.478
168,30.0,31.055,-1.055,5.207,1.3,1.3,82.498
169,30.0,30.857,-0.857,5.208,1.3,1.3,82.518
170,30.0,30.989,-0.989,5.207,1.3,1.3,82.538
171,30.0,31.187,-1.187,5.203,1.3,1.3,82.558
172,30.0,31.516,-1.516,5.198,1.3,1.3,82.578
173,30.0,31.451,-1.451,5.194,1.3,1.3,82.598
174,30.0,31.516,-1.516,5.193,1.3,1.3,82.618
175,30.0,31.319,-1.319,5.194,1.3,1.3,82.638
176,30.0,31.253,-1.253,5.196,1.3,1.3,82.658
177,30.0,31.319,-1.319,5.195,1.3,1.3,82.678
178,30.0,31.582,-1.582,5.192,1.3,1.3,82.698
179,30.0,31.648,-1.648,5.187,1.3,1.3,82.718
180,30.0,31.648,-1.648,5.186,1.3,1.3,82.738
181,30.0,31.714,-1.714,5.184,1.3,1.3,82.758
182,30.0,31.78,-1.78,5.182,1.3,1.3,82.778
183,30.0,31.846,-1.846,5.18,1.3,1.3,82.798
184,30.0,31.648,-1.648,5.179,1.3,1.3,82.818
185,30.0,31.648,-1.648,5.181,1.3,1.3,82.838
186,30.0,31.648,-1.648,5.18,1.3,1.3,82.858
187,30.0,31.582,-1.582,5.18,1.3,1.3,82.878
188,30.0,31.516,-1.516,5.181,1.3,1.3,82.898
189,30.0,31.319,-1.319,5.183,1.3,1.3,82.918
190,30.0,31.516,-1.516,5.183,1.3,1.3,82.938
191,30.0,30.923,-0.923,5.187,1.3,1.3,82.958
192,30.0,30.923,-0.923,5.191,1.3,1.3,82.978
193,30.0,31.055,-1.055,5.189,1.3,1.3,82.998
194,30.0,30.527,-0.527,5.196,1.3,1.3,83.018
195,30.0,30.527,-0.527,5.198,1.3,1.3,83.038
196,30.0,30.725,-0.725,5.195,1.3,1.3,83.058
197,30.0,31.055,-1.055,5.189,1.3,1.3,83.078
198,30.0,30.791,-0.791,5.19,1.3,1.3,83.098
199,30.0,30.396,-0.396,5.198,1.3,1.3,83.118
200,30.0,30.659,-0.659,5.195,1.3,1.3,83.138
201,30.0,30.923,-0.923,5.19,1.3,1.3,83.158
202,30.0,30.527,-0.527,5.194,1.3,1.3,83.178
203,30.0,31.319,-1.319,5.187,1.3,1.3,83.198
204,30.0,30.791,-0.791,5.186,1.3,1.3,83.218
205,30.0,30.264,-0.264,5.198,1.3,1.3,83.238
206,30.0,30.725,-0.725,5.193,1.3,1.3,83.258
207,30.0,30.659,-0.659,5.191,1.3,1.3,83.278
208,30.0,29.934,0.066,5.206,1.3,1.3,83.298
209,30.0,28.615,1.385,5.247,1.3,1.3,83.318
210,30.0,27.429,2.571,5.282,1.3,1.3,83.338
211,30.0,26.505,3.495,5.304,1.3,1.3,83.358
212,30.0,25.253,4.747,5.353,1.3,1.3,83.378
213,30.0,23.604,6.396,5.426,1.3,1.3,83.398
214,30.0,22.286,7.714,5.453,1.3,1.3,83.418
215,30.0,20.703,9.297,5.526,1.3,1.3,83.438
216,30.0,19.187,10.813,5.575,1.3,1.3,83.458
217,30.0,18.132,11.868,5.571,1.3,1.3,83.478
218,30.0,16.945,13.055,5.625,1.3,1.3,83.498
219,30.0,16.418,13.582,5.576,1.3,1.3,83.518
220,30.0,15.495,14.505,5.651,1.3,1.3,83.538
221,30.0,15.165,14.835,5.597,1.3,1.3,83.558
222,30.0,15.165,14.835,5.565,1.3,1.3,83.578
223,30.0,15.692,14.308,5.502,1.3,1.3,83.598
224,30.0,16.022,13.978,5.525,1.3,1.3,83.618
225,30.0,16.945,13.055,5.454,1.3,1.3,83.638
226,30.0,18.066,11.934,5.427,1.3,1.3,83.658
227,30.0,18.989,11.011,5.44,1.3,1.3,83.678
228,30.0,21.692,8.308,5.291,1.3,1.3,83.698
229,30.0,21.231,8.769,5.517,1.3,1.3,83.718
230,30.0,22.879,7.121,5.361,1.3,1.3,83.738
231,30.0,23.934,6.066,5.386,1.3,1.3,83.758
232,30.0,25.319,4.681,5.36,1.3,1.3,83.778
233,30.0,26.835,3.165,5.345,1.3,1.3,83.798
234,30.0,27.626,2.374,5.353,1.3,1.3,83.818
235,30.0,29.604,0.396,5.323,1.3,1.3,83.838
236,30.0,31.451,-1.451,5.313,1.3,1.3,83.858
237,30.0,32.571,-2.571,5.291,1.3,1.3,83.878
238,30.0,34.22,-4.22,5.288,1.3,1.3,83.898
239,30.0,35.538,-5.538,5.262,1.3,1.3,83.918
240,30.0,37.253,-7.253,5.265,1.3,1.3,83.938
241,30.0,37.385,-7.385,5.167,1.3,1.3,83.958
242,30.0,38.176,-8.176,5.191,1.3,1.3,83.978
243,30.0,39.231,-9.231,5.192,1.3,1.3,83.998
244,30.0,40.088,-10.088,5.161,1.3,1.3,84.018
245,30.0,40.549,-10.549,5.116,1.3,1.3,84.038
246,30.0,41.143,-11.143,5.112,1.3,1.3,84.058
247,30.0,41.473,-11.473,5.077,1.3,1.3,84.078
248,30.0,42.0,-12.0,5.081,1.3,1.3,84.098
249,30.0,42.0,-12.0,5.025,1.3,1.3,84.118
250,30.0,42.791,-12.791,5.083,1.3,1.3,84.138
251,30.0,42.659,-12.659,4.985,1.3,1.3,84.158
252,30.0,42.857,-12.857,5.009,1.3,1.3,84.178
253,30.0,42.659,-12.659,4.966,1.3,1.3,84.198
254,30.0,42.198,-12.198,4.944,1.3,1.3,84.218
255,30.0,41.736,-11.736,4.949,1.3,1.3,84.238
256,30.0,42.198,-12.198,5.022,1.3,1.3,84.258
257,30.0,41.341,-11.341,4.911,1.3,1.3,84.278
258,30.0,41.011,-11.011,4.961,1.3,1.3,84.298
259,30.0,40.549,-10.549,4.955,1.3,1.3,84.318
260,30.0,39.89,-9.89,4.95,1.3,1.3,84.338
261,30.0,38.637,-8.637,4.936,1.3,1.3,84.358
262,30.0,37.846,-7.846,4.985,1.3,1.3,84.378
263,30.0,37.385,-7.385,5.013,1.3,1.3,84.398
264,30.0,36.0,-6.0,4.998,1.3,1.3,84.418
265,30.0,35.209,-5.209,5.045,1.3,1.3,84.438
266,30.0,33.495,-3.495,5.063,1.3,1.3,84.458
267,30.0,31.846,-1.846,5.118,1.3,1.3,84.478
268,30.0,29.868,0.132,5.184,1.3,1.3,84.498
269,30.0,28.286,1.714,5.236,1.3,1.3,84.518
270,30.0,26.571,3.429,5.298,1.3,1.3,84.538
271,30.0,24.33,5.67,5.4,1.3,1.3,84.558
272,30.0,22.879,7.121,5.414,1.3,1.3,84.578
273,30.0,20.637,9.363,5.548,1.3,1.3,84.598
274,30.2,19.121,11.079,5.555,1.3,1.3,84.618
275,30.2,17.143,13.057,5.673,1.3,1.3,84.638
276,30.2,16.418,13.782,5.568,1.3,1.3,84.658
277,30.2,15.297,14.903,5.651,1.3,1.3,84.678
278,30.2,14.44,15.76,5.651,1.3,1.3,84.698
279,30.2,13.648,16.552,5.672,1.3,1.3,84.718
280,30.2,13.582,16.618,5.585,1.3,1.3,84.738
281,30.2,13.516,16.684,5.595,1.3,1.3,84.758
282,30.2,13.78,16.42,5.554,1.3,1.3,84.778
283,30.2,14.571,15.629,5.482,1.3,1.3,84.798
